Sample,Label,Window,Difference
11,Running,14,20.883910699999998
11,Running,15,13.7353034
11,Running,16,21.919025599999998
11,Running,17,22.7415084
11,Running,18,19.8924873
11,Running,19,24.240955999999997
12,Running,0,16.574748699999997
12,Running,1,20.9147286
12,Running,2,21.4902312
12,Running,3,19.172925
12,Running,4,26.9637003
12,Running,5,24.2200075
12,Running,6,40.245997800000005
12,Running,7,19.582719
12,Running,8,16.138405
12,Running,9,27.7528813
12,Running,10,26.7103007
12,Running,11,21.82484
12,Running,12,22.1944396
12,Running,13,22.774657899999998
12,Running,14,18.2729997
12,Running,15,32.120517799999995
12,Running,16,19.7675224
12,Running,17,38.921751
12,Running,18,19.481351
12,Running,19,22.687241000000004
